object_id,city,country_code,raised_amount_usd
c:123358,Limassol,CYP,2000000.0
c:40324,Waltham,USA,22000000.0
c:217541,Alpharetta,USA,1000000.0
c:171997,Buenos Aires,ARG,25000.0
c:7309,Bellingham,USA,145000.0
c:265437,New York,USA,200000.0
c:24986,Campbell,USA,30000000.0
c:37953,Boston,USA,530000.0
c:93233,Santa Cruz,USA,7100000.0
c:17542,Menlo Park,USA,10000000.0
c:156638,Philadelphia,USA,170000.0
c:138473,Boston,USA,3000000.0
c:262288,FORT WORTH,USA,10154182.0
c:66290,San Francisco,USA,162500.0
c:279377,Hong Kong,HKG,1800000.0
c:274414,San Francisco,USA,35000.0
c:6967,Maple Grove,USA,300000.0
c:97011,Lisboa,PRT,18885.0
c:34055,Hamilton,BMU,50000000.0
c:20812,Oakland,USA,13500000.0
c:43262,OXON,GBR,1150000.0
c:70852,Alexandria,USA,100000.0
c:37173,Cleveland,USA,2000000.0
c:129759,Laguna Niguel,USA,247640946.0
c:43907,Boston,USA,9500000.0
c:139665,New York,USA,420000.0
c:46220,Norcross,USA,8670000.0
c:34716,Berkeley,USA,6800000.0
c:238081,San Francisco,USA,150000.0
c:147607,San Diego,USA,10000.0
c:2193,New York,USA,150000.0
c:37755,Red Bank,USA,3029506.0
c:276747,Madison,USA,228000.0
c:272514,Dallas,USA,1000000.0
c:86327,Milan,ITA,1955250.0
c:38718,Austin,USA,900000.0
c:46341,Framingham,USA,3030000.0
c:51379,San Francisco,USA,15000.0
c:3044,Campbell,USA,4380000.0
c:165727,San Francisco,USA,100000.0
c:27409,,,4300000.0
c:175729,West Palm Beach,USA,1000000.0
c:68080,Oslo,NOR,0.0
c:67280,Dublin,IRL,1573800.0
c:17511,Sunnyvale,USA,50000000.0
c:168166,Nashville,USA,4250000.0
c:30670,,,300000.0
c:66558,Mountain View,USA,530100.0
c:241651,Glen Burnie,USA,50000.0
c:23920,MILANO,ITA,50544.0
c:72012,NEWARK,USA,500000.0
c:187441,Paris,FRA,100000.0
c:26749,Sunnyvale,USA,0.0
c:264224,MOUNTAIN VIEW,USA,1850000.0
c:37426,San Jose,USA,248502.0
c:238802,Seattle,USA,975000.0
c:245184,,USA,50000.0
c:749,,USA,550000.0
c:54570,Helsinki,FIN,6414560.0
c:169060,Santa Clara,USA,6500000.0
c:85256,Draper,USA,3625000.0
c:191207,Guimarães,PRT,394410.0
c:51175,Toronto,CAN,6000000.0
c:16891,Petach Tikva,ISR,10000000.0
c:169674,,,115200.0
c:51533,San Francisco,USA,2000000.0
c:26577,,FRA,7030000.0
c:149695,Guadalajara,MEX,36154.0
c:258876,Dallas,USA,1600000.0
c:156432,Ann Arbor,USA,0.0
c:61565,Barcelona,ESP,843150.0
c:37217,Quincy,USA,60000000.0
c:10176,San Francisco,USA,85000000.0
